#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:05Z,0.8064516129032027,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:10Z,1.40845070422535,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:15Z,1.4141414141414068,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:20Z,0.4032258064515482,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:25Z,1.414141414141342,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:30Z,1.0060362173039492,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:35Z,0.6024096385542375,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:40Z,1.0020040080159733,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:45Z,1.0183299389001759,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:50Z,1.6129032258064748,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:26:55Z,1.0121457489877856,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:00Z,2.4242424242424616,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:05Z,1.2295081967213306,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:10Z,1.4141414141414719,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:15Z,1.8181818181817868,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:20Z,2.3952095808383853,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:25Z,1.428571428571408,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:30Z,1.2195121951219794,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:35Z,1.217038539553695,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:40Z,1.0162601626016976,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:45Z,0.814663951120132,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:50Z,2.0161290322581706,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:27:55Z,1.6194331983805144,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:28:00Z,2.6315789473683,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:28:05Z,2.2403258655803993,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:28:10Z,3.830645161290392,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:28:15Z,5.858585858585788,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:28:20Z,5.725971370143322,usage_system,cpu,cpu1,hppav14
,,0,2022-09-20T20:28:29.936042837Z,2022-09-20T23:28:29.936042837Z,2022-09-20T23:28:25Z,3.0364372469635006,usage_system,cpu,cpu1,hppav14

